"GEO.id2","GEO.display-label","PopEstimate","Year","Median household income (dollars)","Percent workers commuting by public transportation","Percent population unemployed","Percent no health insurance coverage","Percent income below poverty level","gdp","CENTLAT","CENTLON","INTPTLAT","INTPTLON","UA","UANAME","UAPOP","UZA","UZA Area SQ Miles","UZA Name","UPTs","VRMs","VRHs","Total_Stations_2017","Total_Funding","Federal_Funding","State_Funding","Local_Funding","Other_Funding"
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",5271550,2007,57189,3.3,5.1,NA,NA,279937.7,33.6959847,-84.4375903,33.6952909,-84.4389425,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
12100,"Atlantic City, NJ Metro Area",270644,2007,55767,9.5,5.4,NA,NA,13318.4,NA,NA,NA,NA,"69076","Philadelphia, PA--NJ--DE--MD Urbanized Area",5441567,5,1981,"Philadelphia, PA-NJ-DE-MD",339873325,106273232,7731959,2281,1481524618,330420988,615912060,95691125,1481524618
12100,"Atlantic City, NJ Metro Area",270644,2007,55767,9.5,5.4,NA,NA,13318.4,NA,NA,NA,NA,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
12180,"Auburn, NY Micro Area",80066,2007,45595,1.3,3.4,NA,NA,NA,43.0090248,-76.573736,43.0085456,-76.5745866,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
12220,"Auburn-Opelika, AL Metro Area",130516,2007,39355,0.7,3,NA,NA,3598.6,32.6011815,-85.3555109,32.6040644,-85.3530477,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
12260,"Augusta-Richmond County, GA-SC Metro Area",534641,2007,43843,0.8,3.8,NA,NA,18135.8,33.4347576,-81.9468613,33.4372126,-81.9561564,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
12300,"Augusta-Waterville, ME Micro Area",120839,2007,44113,0.2,4.6,NA,NA,NA,44.4089897,-69.7675998,44.4170119,-69.7657639,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
12420,"Austin-Round Rock, TX Metro Area",1593400,2007,56746,3,3.8,NA,NA,81395.8,NA,NA,NA,NA,"04384","Austin, TX Urbanized Area",1362416,37,523,"Austin, TX",35579398,19794130,1415892,187,183163716,15863992,995290,140492532,183163716
12420,"Austin-Round Rock, TX Metro Area",1593400,2007,56746,3,3.8,NA,NA,81395.8,NA,NA,NA,NA,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
12540,"Bakersfield, CA Metro Area",790710,2007,47105,1.4,5.9,NA,NA,29969.1,NA,NA,NA,NA,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
12580,"Baltimore-Towson, MD Metro Area",2668056,2007,63699,6.2,3.8,NA,NA,141877.2,39.3050772,-76.550193,39.304361,-76.5495009,"92242","Washington, DC--VA--MD Urbanized Area",4586770,8,1322,"Washington, DC-VA-MD",470662295,156791059,9884916,619,2245893048,270534265,331974678,849969183,2245893048
12580,"Baltimore-Towson, MD Metro Area",2668056,2007,63699,6.2,3.8,NA,NA,141877.2,39.3050772,-76.550193,39.304361,-76.5495009,"04843","Baltimore, MD Urbanized Area",2203663,19,717,"Baltimore, MD",110968940,39734727,2805601,823,579747335,96223780,342991918,11129406,579747335
12580,"Baltimore-Towson, MD Metro Area",2668056,2007,63699,6.2,3.8,NA,NA,141877.2,39.3050772,-76.550193,39.304361,-76.5495009,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
12620,"Bangor, ME Metro Area",148784,2007,41333,0.9,3.6,NA,NA,5131,45.3972249,-68.6508946,45.4092843,-68.666616,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
12700,"Barnstable Town, MA Metro Area",222175,2007,60015,1.7,3.1,NA,NA,8818.5,41.7732559,-70.238428,41.7304179,-70.2844952,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
12940,"Baton Rouge, LA Metro Area",770471,2007,44660,1.1,4,NA,NA,40228.6,30.5700387,-91.1306451,30.5708895,-91.134533,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
12980,"Battle Creek, MI Metro Area",136615,2007,41150,0.4,4.6,NA,NA,4876.1,42.2465021,-85.0055808,42.2429896,-85.0123853,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
13020,"Bay City, MI Metro Area",107517,2007,42375,1,5.1,NA,NA,2939.4,43.7212025,-83.9416511,43.6997112,-83.9787007,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
13140,"Beaumont-Port Arthur, TX Metro Area",375644,2007,43583,0.6,4.3,NA,NA,19215.3,30.0760258,-94.2009036,30.0759278,-94.2027049,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
