"msa_id","msa_name","pop_estimate_msa","year","median_household_income_msa","percent_commuting_msa","percent_unemployed_msa","percent_no_insurance_msa","percent_below_poverty_level","gdp_msa","intptlat","intptlon","ua_census_id","ua_sq_miles_2010","ua_fta_name","transit_modes","total_transit_expenses","total_fares","directional_route_miles","vehicle_hours","vehicle_miles","passenger_miles","passenger_trips","total_stations_2017","total_funding","federal_funding","state_funding","local_funding","other_funding","per_capita_gdp","pmt_per_vrm","pmt_per_vrh","upt_per_vrh","per_capita_vrm","per_capita_vrh","per_capita_pmt","per_capita_upt","recovery_ratio","fares_per_upt","cost_per_hour","cost_per_trip","cost_per_pmt"
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",4482857,2007,68142,12,3.9,NA,NA,310193200000,42.517606,-71.0219925,"72505",545,"Providence, RI-MA","Bus",79577922,24238797,2016.3,693520,9582211,98184018,21338828,11,104787270,24155767,42794828,11368187,26468488,69195.4260419192,10.2464888322747,141.573448494636,30.7688718421963,2.13752323574007,0.154704912514497,21.9021079637383,4.76009562651675,0.304591982183199,1.13590104386239,114.744956165648,3.72925457761785,0.810497712570696
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",4482857,2007,68142,12,3.9,NA,NA,310193200000,42.517606,-71.0219925,"97291",304,"Worcester, MA-CT","Other",5240435,357731,0,114620,1608331,1856453,279616,NA,20766250,5598682,8557584,3688504,2921480,69195.4260419192,1.1542729699297,16.1965887279707,2.43950444948526,0.358773657067357,0.0255685157924957,0.414122734675677,0.0623745080425273,0.0682636078875132,1.27936527237354,45.7200750305357,18.7415419718471,2.82282126183642
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",4482857,2007,68142,12,3.9,NA,NA,310193200000,42.517606,-71.0219925,"97291",304,"Worcester, MA-CT","Bus",13352596,2229221,371.3,135587,1557080,7511715,3041180,5,20766250,5598682,8557584,3688504,2921480,69195.4260419192,4.82423189559946,55.4014396660447,22.4297314639309,0.347340992585755,0.0302456669931698,1.67565349508137,0.678402188604276,0.166950381783437,0.733011857239624,98.4799132660211,4.39059707087381,1.77756956966552
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",4482857,2007,68142,12,3.9,NA,NA,310193200000,42.517606,-71.0219925,"05167",277,"Barnstable Town, MA","Bus",4357614,2223880,465.1,80649,956124,4440069,419249,10,12864655,2118172,5946144,1196682,3603657,69195.4260419192,4.64382130351293,55.0542350184131,5.19844015424866,0.213284519225128,0.0179905359461611,0.990455194087164,0.0935227244589778,0.510343504495809,5.30443721988603,54.0318416843358,10.3938566341244,0.981429342652107
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",4482857,2007,68142,12,3.9,NA,NA,310193200000,42.517606,-71.0219925,"05167",277,"Barnstable Town, MA","Other",6262482,1313469,0,131032,2493325,2478349,359181,10,12864655,2118172,5946144,1196682,3603657,69195.4260419192,0.99399356281271,18.914074424568,2.74117009585445,0.556191062976133,0.0292295739078895,0.552850336292235,0.0801232339108743,0.209736171696781,3.65684432082989,47.7935313511203,17.4354489797623,2.5268765617756
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",4482857,2007,68142,12,3.9,NA,NA,310193200000,42.517606,-71.0219925,"61165",182,"Nashua, NH-MA","Other",985656,41654,0,14745,183379,284213,39474,NA,4448204,3563375,120438,459283,305108,69195.4260419192,1.54986666957503,19.2752119362496,2.67711088504578,0.0409067253316356,0.00328919704554484,0.0633999701529627,0.0088055452136885,0.042260180022239,1.05522622485687,66.8467955239064,24.9697522419821,3.46801870428165
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",4482857,2007,68142,12,3.9,NA,NA,310193200000,42.517606,-71.0219925,"61165",182,"Nashua, NH-MA","Bus",1046557,206712,50,21201,270661,1718278,350669,4,4448204,3563375,120438,459283,305108,69195.4260419192,6.34845064490266,81.0470260836753,16.5402103674355,0.06037689803623,0.00472935005510994,0.383299757275327,0.0782244448127612,0.197516236573832,0.589478967345274,49.3635677562379,2.98445827831944,0.609073153471091
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",4482857,2007,68142,12,3.9,NA,NA,310193200000,42.517606,-71.0219925,"61786",55,"New Bedford, MA","Other",2386572,341719,0,44689,452748,595661,93072,NA,12531281,3947594,4463673,1849602,2270412,69195.4260419192,1.31565683338193,13.3290295150932,2.08266016245609,0.100995414308331,0.00996886583712128,0.132875306974994,0.0207617597438419,0.143184031321913,3.67155535499398,53.4040144107051,25.6422124806601,4.00659435484277
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",4482857,2007,68142,12,3.9,NA,NA,310193200000,42.517606,-71.0219925,"61786",55,"New Bedford, MA","Bus",9546290,1366874,348.9,95567,1221469,4259596,1577628,4,12531281,3947594,4463673,1849602,2270412,69195.4260419192,3.48727311131105,44.5718291878996,16.5080833342053,0.272475566363147,0.0213183244524641,0.950196716067454,0.351924676606905,0.143183791818602,0.866410839564207,99.8910711856603,6.05103991562016,2.24112568421982
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",4482857,2007,68142,12,3.9,NA,NA,310193200000,42.517606,-71.0219925,"49096",65,"Leominster-Fitchburg, MA","Other",4884105,503267,0,120729,1318821,3332642,378586,NA,13300497,4115586,4695518,1614020,2875373,69195.4260419192,2.52698584569096,27.6043204201145,3.13583314696552,0.294192074384706,0.026931262808517,0.743419207884615,0.0844519466045872,0.103041806021779,1.32933336150835,40.4551102055016,12.9009128705235,1.46553545205276
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",4482857,2007,68142,12,3.9,NA,NA,310193200000,42.517606,-71.0219925,"49096",65,"Leominster-Fitchburg, MA","Bus",4789337,657436,198,68322,826309,3810354,637173,3,13300497,4115586,4695518,1614020,2875373,69195.4260419192,4.61129432209984,55.7705277948538,9.32602968297181,0.184326423974711,0.0152407270631207,0.849983392287552,0.142135472980735,0.13727077463958,1.03180141029202,70.0994847925998,7.51654103359684,1.25692704667335
15380,"Buffalo-Niagara Falls, NY Metro Area",1128183,2007,44843,3.3,4.1,NA,NA,45002700000,43.0443711,-78.7773351,"11350",380,"Buffalo, NY","Other",4704774,207213,0,56779,959066,877815,87888,NA,136622355,24996616,45345537,39698159,26582043,39889.5391970983,0.915281117253661,15.4602053576146,1.54789622923968,0.850097900783827,0.0503278280208087,0.778078556404413,0.0779022552192331,0.0440431357595498,2.35769388312398,82.8611634583209,53.5314718732933,5.35964183797269
15380,"Buffalo-Niagara Falls, NY Metro Area",1128183,2007,44843,3.3,4.1,NA,NA,45002700000,43.0443711,-78.7773351,"11350",380,"Buffalo, NY","Rail",23303848,4410265,12.4,73517,790879,14323752,5850313,42,136622355,24996616,45345537,39698159,26582043,39889.5391970983,18.1111800920242,194.835915502537,79.57768951399,0.701020135917666,0.0651640735589882,12.6963019297401,5.18560641314397,0.189250504895157,0.753851118735015,316.985840009794,3.98335063440195,1.62693741137099
15380,"Buffalo-Niagara Falls, NY Metro Area",1128183,2007,44843,3.3,4.1,NA,NA,45002700000,43.0443711,-78.7773351,"11350",380,"Buffalo, NY","Bus",85505809,20786828,1379.3,759142,9170270,69062881,18207585,27,136622355,24996616,45345537,39698159,26582043,39889.5391970983,7.53117203746455,90.9749177360757,23.9844258386442,8.12835329020203,0.672889061437728,61.2160270098025,16.1388577916881,0.243104278447327,1.1416576113746,112.634802184572,4.69616420848784,1.23808633178798
15380,"Buffalo-Niagara Falls, NY Metro Area",1128183,2007,44843,3.3,4.1,NA,NA,45002700000,43.0443711,-78.7773351,"11350",380,"Honolulu, HI","Other",4704774,207213,0,56779,959066,877815,87888,NA,136622355,24996616,45345537,39698159,26582043,39889.5391970983,0.915281117253661,15.4602053576146,1.54789622923968,0.850097900783827,0.0503278280208087,0.778078556404413,0.0779022552192331,0.0440431357595498,2.35769388312398,82.8611634583209,53.5314718732933,5.35964183797269
16740,"Charlotte-Gastonia-Concord, NC-SC Metro Area",1650667,2007,53211,1.8,5.1,NA,NA,117393600000,NA,NA,"15670",741,"Charlotte, NC-SC","Bus",74986805,12087939,1886.8,775432,11040484,89264788,19851092,63,282038541,86955591,45232556,136094946,13755448,71118.8870923088,8.08522416227405,115.116203612954,25.6000422990024,6.68849864933388,0.469768887364926,54.0780108889316,12.0261033872974,0.161200880608262,0.608930682503512,96.7032634712006,3.77746498782032,0.840049102004253
16740,"Charlotte-Gastonia-Concord, NC-SC Metro Area",1650667,2007,53211,1.8,5.1,NA,NA,117393600000,NA,NA,"15670",741,"Charlotte, NC-SC","Rail",0,0,0,0,0,0,0,144,282038541,86955591,45232556,136094946,13755448,71118.8870923088,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA
16740,"Charlotte-Gastonia-Concord, NC-SC Metro Area",1650667,2007,53211,1.8,5.1,NA,NA,117393600000,NA,NA,"15670",741,"Charlotte, NC-SC","Other",8259201,1195789,0,197800,4347830,16655281,547214,NA,282038541,86955591,45232556,136094946,13755448,71118.8870923088,3.83071118235994,84.2026339737108,2.76650151668352,2.63398371688536,0.11983034736867,10.0900308784267,0.331510837740138,0.144782649072229,2.18523100651665,41.7553134479272,15.0931829229515,0.495890822856726
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metro Area",9522879,2007,59255,11.5,4.8,NA,NA,534764500000,NA,NA,"16264",2443,"Chicago, IL-IN","Other",110988032,12334177,0,2343750,36566646,77454429,5871915,7,2852863377,545613523,374333039,1096624234,836292581,56155.7591984525,2.11817154354271,33.04722304,2.5053504,3.83987300479193,0.24611779693935,8.13350972956813,0.616611321009119,0.111130693803094,2.10053738856915,47.3548936533333,18.9015052159304,1.4329462295823
