UA,NAME,UA00,UA00NAME,POPPT,HUPT,AREAPT,AREALANDPT,UAPOP,UAHU,UAAREA,UAAREALAND,UA00POP,UA00HU,UA00AREA,UA00AREALAND,UAPOPPCT,UAHUPCT,UAAREAPCT,UAAREALANDPCT,UA00POPPCT,UA00HUPCT,UA00AREAPCT,UA00AREALANDPCT
02548,"Angola, IN",99999,"Not in a 2000 urban area",1854,961,7057480,5555065,11196,5828,27532808,23588879,,,,,16.56,16.49,25.63,23.55,,,,
02575,"Anna, IL",02575,"Anna, IL",5877,2798,9251675,9208119,6078,2815,10353478,10306265,6150,2892,12135234,12037989,96.69,99.40,89.36,89.34,95.56,96.75,76.24,76.49
02575,"Anna, IL",99999,"Not in a 2000 urban area",201,17,1101803,1098146,6078,2815,10353478,10306265,,,,,3.31,0.60,10.64,10.66,,,,
02581,"Anna, TX",99999,"Not in a 2000 urban area",10746,3809,18117881,18087871,10746,3809,18117881,18087871,,,,,100.00,100.00,100.00,100.00,,,,
02590,"Annandale, MN",99999,"Not in a 2000 urban area",3262,1460,7049035,7049035,3262,1460,7049035,7049035,,,,,100.00,100.00,100.00,100.00,,,,
02602,"Ann Arbor, MI",02602,"Ann Arbor, MI",287479,127117,316333356,304402136,306022,133978,426884692,413286601,290957,128652,342138527,329513799,93.94,94.88,74.10,73.65,98.80,98.81,92.46,92.38
02602,"Ann Arbor, MI",23824,"Detroit, MI",0,0,2250,2250,306022,133978,426884692,413286601,3673304,1630223,3342097130,3255092552,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02602,"Ann Arbor, MI",99999,"Not in a 2000 urban area",18543,6861,110549086,108882215,306022,133978,426884692,413286601,,,,,6.06,5.12,25.90,26.35,,,,
02629,"Anniston--Oxford, AL",02629,"Anniston, AL",71666,32585,167829453,166877530,79796,36090,226117671,224731051,76347,34547,202952908,201918719,89.81,90.29,74.22,74.26,93.87,94.32,82.69,82.65
02629,"Anniston--Oxford, AL",99999,"Not in a 2000 urban area",8130,3505,58288218,57853521,79796,36090,226117671,224731051,,,,,10.19,9.71,25.78,25.74,,,,
02656,"Antigo, WI",02656,"Antigo, WI",7932,3784,8396340,8314157,8158,3916,10918333,10833996,8517,4047,17727009,17603953,97.23,96.63,76.90,76.74,93.13,93.50,47.36,47.23
02656,"Antigo, WI",99999,"Not in a 2000 urban area",226,132,2521993,2519839,8158,3916,10918333,10833996,,,,,2.77,3.37,23.10,23.26,,,,
02683,"Antioch, CA",02683,"Antioch, CA",260321,87415,147026396,146952069,277634,93809,211612082,210723258,260591,87492,154713272,154638945,93.76,93.18,69.48,69.74,99.90,99.91,95.03,95.03
02683,"Antioch, CA",07435,"Bethel Island, CA",2485,1555,14677723,14677723,277634,93809,211612082,210723258,2485,1555,14677723,14677723,0.90,1.66,6.94,6.97,100.00,100.00,100.00,100.00
02683,"Antioch, CA",99999,"Not in a 2000 urban area",14828,4839,49907963,49093466,277634,93809,211612082,210723258,,,,,5.34,5.16,23.58,23.30,,,,
02710,"Apalachicola, FL",02710,"Apalachicola, FL",2629,1559,4474111,4474111,3691,2095,23046619,7236978,2726,1615,6633688,6633688,71.23,74.42,19.41,61.82,96.44,96.53,67.45,67.45
02710,"Apalachicola, FL",99999,"Not in a 2000 urban area",1062,536,18572508,2762867,3691,2095,23046619,7236978,,,,,28.77,25.58,80.59,38.18,,,,
02764,"Appleton, WI",02764,"Appleton, WI",191483,82389,186895759,186524316,216154,92157,279583216,268776675,192033,82629,189632935,189244094,88.59,89.40,66.85,69.40,99.71,99.71,98.56,98.56
02764,"Appleton, WI",99999,"Not in a 2000 urban area",24671,9768,92687457,82252359,216154,92157,279583216,268776675,,,,,11.41,10.60,33.15,30.60,,,,
02773,"Apple Valley, OH",40483,"Howard township, OH",4171,2204,11929592,9895011,4835,2492,14332576,12288357,4201,2221,12197650,10163069,86.27,88.44,83.23,80.52,99.29,99.23,97.80,97.36
02773,"Apple Valley, OH",99999,"Not in a 2000 urban area",664,288,2402984,2393346,4835,2492,14332576,12288357,,,,,13.73,11.56,16.77,19.48,,,,
02791,"Arab, AL",02791,"Arab, AL",6533,3035,15801650,15554182,8012,3635,21982343,21680388,6833,3202,18737927,18480478,81.54,83.49,71.88,71.74,95.61,94.78,84.33,84.17
02791,"Arab, AL",99999,"Not in a 2000 urban area",1479,600,6180693,6126206,8012,3635,21982343,21680388,,,,,18.46,16.51,28.12,28.26,,,,
02825,"Arbuckle, CA",99999,"Not in a 2000 urban area",2652,812,1871304,1871304,2652,812,1871304,1871304,,,,,100.00,100.00,100.00,100.00,,,,
02845,"Arcade, NY",02845,"Arcade, NY",2786,1361,4749658,4749658,3048,1470,6114482,6114482,4415,2127,8647435,8647435,91.40,92.59,77.68,77.68,63.10,63.99,54.93,54.93
02845,"Arcade, NY",99999,"Not in a 2000 urban area",262,109,1364824,1364824,3048,1470,6114482,6114482,,,,,8.60,7.41,22.32,22.32,,,,
02899,"Arcadia, LA",02899,"Arcadia, LA",2712,1151,5209168,5209168,2894,1188,7120154,7120154,2748,1174,6174351,6174351,93.71,96.89,73.16,73.16,98.69,98.04,84.37,84.37
02899,"Arcadia, LA",99999,"Not in a 2000 urban area",182,37,1910986,1910986,2894,1188,7120154,7120154,,,,,6.29,3.11,26.84,26.84,,,,
02901,"Arcadia, WI",99999,"Not in a 2000 urban area",2993,1235,5461020,5461020,2993,1235,5461020,5461020,,,,,100.00,100.00,100.00,100.00,,,,
02912,"Arcadia--Southeast Arcadia, FL",02872,"Arcadia, FL",15379,5717,20612092,20596322,17490,7356,26247377,26231607,15810,5897,25169145,25153375,87.93,77.72,78.53,78.52,97.27,96.95,81.89,81.88
02912,"Arcadia--Southeast Arcadia, FL",99999,"Not in a 2000 urban area",2111,1639,5635285,5635285,17490,7356,26247377,26231607,,,,,12.07,22.28,21.47,21.48,,,,
02926,"Arcata-McKinleyville, CA",02926,"Arcata, CA",31639,13925,39562113,39311096,32364,14233,42947159,42634460,32489,14307,48986444,48504170,97.76,97.84,92.12,92.20,97.38,97.33,80.76,81.05
02926,"Arcata-McKinleyville, CA",99999,"Not in a 2000 urban area",725,308,3385046,3323364,32364,14233,42947159,42634460,,,,,2.24,2.16,7.88,7.80,,,,
02953,"Archbold, OH",02953,"Archbold, OH",4099,1763,5446822,5431439,4760,2046,9815559,9777640,4115,1768,6772141,6462284,86.11,86.17,55.49,55.55,99.61,99.72,80.43,84.05
02953,"Archbold, OH",99999,"Not in a 2000 urban area",661,283,4368737,4346201,4760,2046,9815559,9777640,,,,,13.89,13.83,44.51,44.45,,,,
02965,"Archer Lodge--Clayton, NC",99999,"Not in a 2000 urban area",13288,4707,52846735,52581462,13288,4707,52846735,52581462,,,,,100.00,100.00,100.00,100.00,,,,
02980,"Arcola, IL",02980,"Arcola, IL",2776,1086,3084247,3039399,2874,1122,3537535,3492687,2796,1094,4398623,4319557,96.59,96.79,87.19,87.02,99.28,99.27,70.12,70.36
02980,"Arcola, IL",99999,"Not in a 2000 urban area",98,36,453288,453288,2874,1122,3537535,3492687,,,,,3.41,3.21,12.81,12.98,,,,
03007,"Ardmore, OK",03007,"Ardmore, OK",20001,9130,23908651,23844746,20888,9566,30309181,30232622,20095,9178,24717726,24653821,95.75,95.44,78.88,78.87,99.53,99.48,96.73,96.72
03007,"Ardmore, OK",99999,"Not in a 2000 urban area",887,436,6400530,6387876,20888,9566,30309181,30232622,,,,,4.25,4.56,21.12,21.13,,,,
03034,"Arecibo, PR",03034,"Arecibo, PR",135398,58909,193481416,193342349,139171,60653,219332672,217740151,142551,61915,236980775,235333802,97.29,97.12,88.21,88.79,94.98,95.14,81.64,82.16
03034,"Arecibo, PR",30115,"Florida--Barceloneta--Bajadero, PR",1399,611,1722258,1722258,139171,60653,219332672,217740151,70392,30036,127674149,127531254,1.01,1.01,0.79,0.79,1.99,2.03,1.35,1.35
03034,"Arecibo, PR",99999,"Not in a 2000 urban area",2374,1133,24128998,22675544,139171,60653,219332672,217740151,,,,,1.71,1.87,11.00,10.41,,,,
03088,"Arizona City, AZ",03088,"Arizona City, AZ",8629,4171,9729350,9543048,10531,5068,12276908,12090606,8629,4171,9729350,9543048,81.94,82.30,79.25,78.93,100.00,100.00,100.00,100.00
03088,"Arizona City, AZ",99999,"Not in a 2000 urban area",1902,897,2547558,2547558,10531,5068,12276908,12090606,,,,,18.06,17.70,20.75,21.07,,,,
03115,"Arkadelphia, AR",03115,"Arkadelphia, AR",9951,3975,12110955,12110955,10491,4057,15009214,15009214,9951,3975,12110955,12110955,94.85,97.98,80.69,80.69,100.00,100.00,100.00,100.00
03115,"Arkadelphia, AR",99999,"Not in a 2000 urban area",540,82,2898259,2898259,10491,4057,15009214,15009214,,,,,5.15,2.02,19.31,19.31,,,,
03142,"Arkansas City, KS",03142,"Arkansas City, KS",12072,5538,21010217,21010217,13026,5906,25095581,24957567,12146,5568,23152351,23085211,92.68,93.77,83.72,84.18,99.39,99.46,90.75,91.01
