"msa_id","msa_name","pop_estimate_msa","year","median_household_income_msa","percent_commuting_msa","percent_unemployed_msa","percent_no_insurance_msa","percent_below_poverty_level","gdp_msa","intptlat","intptlon","ua_census_id","ua_sq_miles_2010","ua_fta_name","transit_modes","total_transit_expenses","total_fares","directional_route_miles","vehicle_hours","vehicle_miles","passenger_miles","passenger_trips","total_stations_2017","total_funding","federal_funding","state_funding","local_funding","other_funding","per_capita_gdp","pmt_per_vrm","pmt_per_vrh","per_capita_vrm","per_capita_vrh","per_capita_pmt","per_capita_upt"
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2390244,2015,63850,3.6,0.1,6.4,12.2,156869300000,45.6006204,-122.4843457,"71317",524,"Portland, OR-WA","Bus",276084934,76018667,1755.02,2039413,24539916,321677518,68296800,66,752658402,164131538,123500942,307272575,157753347,65628.9901784086,13.1083381866507,157.730444005211,10.2666991319715,0.853223771296989,134.579364282475,28.5731498541571
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2390244,2015,63850,3.6,0.1,6.4,12.2,156869300000,45.6006204,-122.4843457,"71317",524,"Norfolk--Virginia Beach--Newport News, VA","Other",52474173,8828200,1.28,651419,9580673,14804406,3291824,8,752658402,164131538,123500942,307272575,157753347,65628.9901784086,1.54523654027228,22.7263957606395,4.0082405812963,0.272532427651738,6.19367980842123,1.37719161725748
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2390244,2015,63850,3.6,0.1,6.4,12.2,156869300000,45.6006204,-122.4843457,"71317",524,"Norfolk--Virginia Beach--Newport News, VA","Bus",276084934,76018667,1755.02,2039413,24539916,321677518,68296800,66,752658402,164131538,123500942,307272575,157753347,65628.9901784086,13.1083381866507,157.730444005211,10.2666991319715,0.853223771296989,134.579364282475,28.5731498541571
39300,"Providence-Warwick, RI-MA Metro Area",1613070,2015,58965,3.4,0.2,4.8,13.4,78520300000,NA,NA,"09271",1873,"Boston, MA-NH-RI","Rail",938050506,483293757,903.38,2799413,50580235,1411846024,268652148,2660,2565245450,332253938,1240916115,321305045,670770352,48677.5527410466,27.9129985062347,504.336453392193,31.3565034375446,1.73545661378613,875.254033612924,166.547110788744
39300,"Providence-Warwick, RI-MA Metro Area",1613070,2015,58965,3.4,0.2,4.8,13.4,78520300000,NA,NA,"09271",1873,"Boston, MA-NH-RI","Other",128780312,17438790,38.42,1561026,23496374,40256957,4203010,90,2565245450,332253938,1240916115,321305045,670770352,48677.5527410466,1.71332636261238,25.7887805840518,14.5662457301915,0.9677360560918,24.956732813827,2.60559678129281
39300,"Providence-Warwick, RI-MA Metro Area",1613070,2015,58965,3.4,0.2,4.8,13.4,78520300000,NA,NA,"09271",1873,"Boston, MA-NH-RI","Bus",476396869,110572574,2751.53,2795210,28691552,375363737,141125735,700,2565245450,332253938,1240916115,321305045,670770352,48677.5527410466,13.0827268249553,134.28820625284,17.7869230721543,1.7328510232042,232.70145560949,87.4889093467735
39300,"Providence-Warwick, RI-MA Metro Area",1613070,2015,58965,3.4,0.2,4.8,13.4,78520300000,NA,NA,"09271",1873,"Houston, TX","Other",128780312,17438790,38.42,1561026,23496374,40256957,4203010,90,2565245450,332253938,1240916115,321305045,670770352,48677.5527410466,1.71332636261238,25.7887805840518,14.5662457301915,0.9677360560918,24.956732813827,2.60559678129281
39300,"Providence-Warwick, RI-MA Metro Area",1613070,2015,58965,3.4,0.2,4.8,13.4,78520300000,NA,NA,"09271",1873,"Houston, TX","Bus",476396869,110572574,2751.53,2795210,28691552,375363737,141125735,700,2565245450,332253938,1240916115,321305045,670770352,48677.5527410466,13.0827268249553,134.28820625284,17.7869230721543,1.7328510232042,232.70145560949,87.4889093467735
39300,"Providence-Warwick, RI-MA Metro Area",1613070,2015,58965,3.4,0.2,4.8,13.4,78520300000,NA,NA,"09271",1873,"Boston, MA","Rail",938050506,483293757,903.38,2799413,50580235,1411846024,268652148,2660,2565245450,332253938,1240916115,321305045,670770352,48677.5527410466,27.9129985062347,504.336453392193,31.3565034375446,1.73545661378613,875.254033612924,166.547110788744
39300,"Providence-Warwick, RI-MA Metro Area",1613070,2015,58965,3.4,0.2,4.8,13.4,78520300000,NA,NA,"09271",1873,"Boston, MA","Bus",476396869,110572574,2751.53,2795210,28691552,375363737,141125735,700,2565245450,332253938,1240916115,321305045,670770352,48677.5527410466,13.0827268249553,134.28820625284,17.7869230721543,1.7328510232042,232.70145560949,87.4889093467735
39300,"Providence-Warwick, RI-MA Metro Area",1613070,2015,58965,3.4,0.2,4.8,13.4,78520300000,NA,NA,"72505",545,"Providence, RI-MA","Rail",0,0,0,0,0,0,0,NA,130760861,30609656,11742133,64808271,23600801,48677.5527410466,NA,NA,0,0,0,0
39300,"Providence-Warwick, RI-MA Metro Area",1613070,2015,58965,3.4,0.2,4.8,13.4,78520300000,NA,NA,"72505",545,"Providence, RI-MA","Other",21071623,1143867,0,333170,4549522,6143880,665148,2,130760861,30609656,11742133,64808271,23600801,48677.5527410466,1.35044516764618,18.4406759312063,2.82041200939823,0.206544043345918,3.8088117688631,0.412349123100671
39300,"Providence-Warwick, RI-MA Metro Area",1613070,2015,58965,3.4,0.2,4.8,13.4,78520300000,NA,NA,"72505",545,"Providence, RI-MA","Bus",93867994,20181349,1735.1,755751,10286959,88698092,18978815,11,130760861,30609656,11742133,64808271,23600801,48677.5527410466,8.62238218311165,117.364174179062,6.37725517181523,0.468517175324071,54.9871313706163,11.7656487319211
39300,"Providence-Warwick, RI-MA Metro Area",1613070,2015,58965,3.4,0.2,4.8,13.4,78520300000,NA,NA,"64135",152,"Norwich-New London, CT-RI","Other",223324,15197,0,4002,66697,24272,5358,NA,7152980,632881,4743515,488196,1288388,48677.5527410466,0.363914418939383,6.06496751624188,0.0413478646307972,0.00248098346630958,0.0150470841315008,0.00332161654484926
39300,"Providence-Warwick, RI-MA Metro Area",1613070,2015,58965,3.4,0.2,4.8,13.4,78520300000,NA,NA,"64135",152,"Norwich-New London, CT-RI","Bus",6209805,1214275,405,63397,966026,6194625,1149281,2,7152980,632881,4743515,488196,1288388,48677.5527410466,6.41248268680139,97.7116425067432,0.598874196408091,0.0393020761653245,3.84027041603898,0.712480549511181
39300,"Providence-Warwick, RI-MA Metro Area",1613070,2015,58965,3.4,0.2,4.8,13.4,78520300000,NA,NA,"61786",55,"New Bedford, MA","Other",2793491,125869,0,31445,398493,312471,50002,NA,16330733,5354799,5914795,2538672,2522467,48677.5527410466,0.784131716240938,9.93706471617109,0.247040116052,0.01949388433236,0.193711990180215,0.0309980348032013
39300,"Providence-Warwick, RI-MA Metro Area",1613070,2015,58965,3.4,0.2,4.8,13.4,78520300000,NA,NA,"61786",55,"New Bedford, MA","Bus",12957983,2183391,206.5,118423,1466684,14221486,2609447,4,16330733,5354799,5914795,2538672,2522467,48677.5527410466,9.69635313400842,120.090573621678,0.90925006354343,0.0734146689232333,8.81640970323669,1.61768987086735
39580,"Raleigh, NC Metro Area",1273568,2015,65778,1.1,0,9.1,11.6,75776900000,NA,NA,"73261",518,"Raleigh, NC","Other",13602286,861886,0,353562,4849378,5172280,505208,NA,52577095,12904480,4845480,18996463,15830672,59499.6890625393,1.06658627147647,14.6290608153591,3.80771030679163,0.277615329530893,4.06125153898339,0.396687102691022
39580,"Raleigh, NC Metro Area",1273568,2015,65778,1.1,0,9.1,11.6,75776900000,NA,NA,"73261",518,"Raleigh, NC","Bus",29173533,8174309,722.6,303765,3721650,30096717,8816781,4,52577095,12904480,4845480,18996463,15830672,59499.6890625393,8.08692837854178,99.0789491876944,2.92222323425212,0.23851494384281,23.6318100015076,6.92289771727933
